course_title,content_duration
Professional Risk Manager (PRM) Certification: Level 2,7.5
Practical Trading on Financial Futures & Options Markets,4.0
ChalkTalk: Financial Accounting,3.5
The Investment Banking Recruitment Series,3.5
Accounting 101-Master Class for Understanding Business,2.5
Financial Statement Fundamentals for Small Biz & Investors,3.0
IAS 12 - Accounting for Income Taxes (Basics),4.5
Forex: Learn to Trade Forex and FX Consistently,5.5
Trading: High-ROI Trading,12.5
"Build, Grow, and Protect Your Assets: A Step-by-Step Guide",3.5
Learn to Trade Forex - from Beginner to Professional,12.5
Introduction to Equity Markets,6.5
Financial Management - Ratio Analysis,5.5
Futures/Commodity Trading,5.5
Complete Claritas Investment Certificate,11.5
Introduction to the economics of public services regulation,8.0
Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,2.5
Case studies on credit appraisal for bankers,3.5
CFA Level 2- Quantitative Methods,5.5
Capital Market Road Map,4.0
Bitcoin - A Comprehensive Guide,2.5
Forex Trading,4.5
"The True ' Secret Sauce  For Stock Market Success""",3.0
Bookkeeping to Command Senior Bookkeeping Wages,4.5
Visualizing Data,6.5
IFRS Financial Reporting,3.5
Learn Financial Accounting Different,6.0
"IAS37 - Provisions, Contingents Liabilities & Assets",4.0
Financial Reporting A Comprehensive Study,8.0
An Abundance Mindset: How to Craft Yours,4.5
Bitcoin or How I Learned to Stop Worrying and Love Crypto,8.0
Trend Following Stocks: A Complete Trading System,3.5
Forex Basics,3.5
Bitcoin - Ethereum: Trading -Watch me manage my own account!,2.5
FOREX : Learn Technical Analysis,18.0
FastTrack to Stock Trading Strategies,3.5
Succeed in Forex Even if You Don't Know Where to Start!,19.5
Capital Market Immersion,24.5
"Internal Controls - Design, Implementation and Monitoring",6.5
Forex online live trading system (Special Offer),5.5
Winning Options Trading System,7.5
Six Stage Negotiation,2.5
Financial Reporting - Fundamentals/Basics,2.5
"Accounting, Finance and Banking - A Comprehensive Study",33.0
Advanced Technical Analysis PART1!,3.0
Advanced Financial Management for CA / CS / CFA /CPA Exams,24.5
Learn the Foundations of Stocks and Options,7.5
Forex Trading Masterclass - Learn To Trade Better,3.0
Credit Risk Analysis,3.5
Python for Trading & Investing,5.0
Essential Options: Strategies for Mastering the Stock Market,5.0
The Day Trader: Learn to Trade The Stock Market and Forex,10.5
Stock Technical Analysis with Excel,7.0
Mortgage Backed Securities,3.5
The Complete Financial Model Builder Course-Build 7 Models,9.0
Fundamental Financial Math,2.5
Equity Swaps,3.0
Certificate Program in Financial Accounting,4.5
Fundraising Success: The Art & Science of Major Gifts,2.5
Smart Trading Techniques for Safe & Consistent Weekly Result,2.5
Budgeting for Business,2.5
Hot Trading Investing Strategy: ETF and Futures,2.5
Financial Management - A Complete Study,71.5
MQL4 Programming for Traders: Build Robust Trading Robots!,7.0
Ultimate Stock Market Investing: Learn How to Value Stocks,3.5
No Bull Investing: Investing 101 For Financial Freedom,6.5
Small Business Owners: Drive a Productive Business and Grow,3.0
Technical Analysis 101: Ten Primary Candlestick Reversals,7.0
"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",3.5
Tax made simple for Limited Company Owners and Contractors,3.0
Write a Successful Business Grant Proposal,2.5
Ratio analysis for bankers and credit analysts,3.0
الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,20.5
Financial Risk Manager (FRM) Certification: Level II,47.0
Level 1 2014 CFA® Program – Corporate Finance,3.0
Strategy layout and Backtesting,4.0
Easy Forex and Futures Trading,14.5
Trading mit kleinen Konten - Grundlagen die du kennen musst,3.5
Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,2.5
CPA 10 COMPLETO,5.0
Estruturação Financeira,3.5
Five steps to becoming a winner in stock investing,3.0
Learn Bookkeeping From Scratch,3.0
ACCA MA1 Management Information,3.5
How I Make Money Writing About Stocks Online,2.5
Tradeonomics - Four Steps to Mastering Economic Indicators,4.0
Forex Trading : Power Of Moving Averages,4.0
Samuel and Co Trading - Stock & Forex Trading,5.5
Accounting Department's Tips & Tricks - Beginner to Advanced,6.0
Certificate Program In Management Accounting,6.0
Professional Trading With Institutional Supply & Demand,5.5
Accounting 101: Guide to Business Accounting,14.5
Your Business by the Numbers,3.0
Bitcoin & Ethereum Course (2 Course Bundle),2.5
Financial Statements Analysis: Learn to Invest Like a Pro!,2.5
TRADING MARKET MAP,3.5
How To Confidently Join The Bitcoin Revolution,7.0
High Probability Trading Across Any Market: Stocks & Forex,18.5
Your First Successful Forex Trades - With Case Studies,2.5
MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,43.5
Financial Accounting - The Ultimate Beginner Course,10.0
Level 1 2014 CFA® Program – Derivatives,2.5
The Complete Investing Guide: How to Beat Wall Street,5.5
Level 1 2014 CFA® Program – Equity Investments,4.5
Wealth Management,3.5
Curso Completo del Mercado FOREX,5.5
Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,5.0
６時間でインターバンク市場を攻略！最短距離でトレード基礎力,4.0
Введение в Финансовую Инженерию,5.0
資産運用の基礎を学ぶファイナンス入門,4.0
Aprende a invertir y deja que tu dinero trabaje para ti,14.0
Buchführung lernen leicht gemacht,5.0
Day Trading: High ROI Day Trading ,6.5
Stock Market for Beginners. Learn to trade,3.5
CFA Corporate Finance Level 1 (Part 1),14.5
Capital Structuring Techiques for CA / CFA / CPA Exams,7.0
The Complete Guide to Forex Trading,5.0
Trading strategies with common sense technical analysis,3.0
Startup Business: How To Raise Seed Capital,3.0
Business Economics - Basics (College Level),4.0
Investing in Stocks? Master The Art of Covered Calls Selling,3.0
Forex Trading using professional indicators by TOP traders,3.5
Corporate Finance 101: Equity Valuation,6.0
Navigate the 10-K and Other Financial Reports,2.5
From 0 to 1: Investments and Portfolio Theory,4.5
Bitcoin - The Complete Guide,5.5
Bitcoin Peer Investing: How To Generate Double Digit Returns,2.5
Forex Breakout Profits: The Definitive Guide,2.5
Learn to Trade With Fibonacci Tools,4.0
From 0 to 1: Bond Theory and Valuation,4.0
Stock Market Mastery,7.5
"IAS 8-Accounting Policies ,Changes in Accounting Estimates",2.5
CFA® Level 1 2014 – Financial Reporting and Analysis,10.0
CFA Level I Foundation Course: Introduction to Quants,5.0
Financial Risk Manager (FRM) Certification: Level I,24.0
Investment Portfolio Analysis with Excel,9.0
Chartered Financial Analyst (CFA) - Level 1 - FRA,14.5
Finance for Non-Finance: Learn Quick and Easy,2.5
How to Copy the Best Traders on Etoro,3.5
Professional Risk Manager (PRM) Certification: Level 3,12.5
The Truths about (in)secure Retirement,4.5
MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,3.5
Forex & Financial Market Trading Tutorial- Online Strategies,9.0
"Economics:   Competition, Elasticity, a little Game Theory",6.0
Quantitative Trading Analysis with Python,5.5
Invest Like a Pro!,2.5
Options Trading Essentials: The ULTIMATE Guides,4.0
ACCA FA1 Recording Financial Transactions,3.5
Small Business and Managerial Accounting Training Tutorial,3.5
Commodity Futures Day Trading Strategies,5.0
FX Commodity Chart Trading Patterns for Success,2.5
Forex Elite Trading,6.0
How to Invest in Startups - Expert Reveals Winning Secrets.,8.5
"Credit concepts and checklist for bankers, credit analyst",2.5
60 Minutes to Fundamental Accounting Skills,2.5
Trade Forex 13 Patterns - Golden Ratios Secret Revealed,4.0
Crystal ball trading - foresee price with seasonal patterns,6.0
Hedge Fund Trading Systems Part Two - Stocks & ETFs,2.5
Debt Collection Management: Get Paid On Time EVERY TIME!,3.0
Options Spreads Bundle-  the heart of Options Trading,2.5
Investment Portfolio Analysis with R,6.5
Financial Modeling for Professionals in 1 Day!,4.5
Create Your Own Automated Stock Trading Robot In EXCEL!,5.0
FOREX: From Zero To Hero,3.0
Learn Call Options and Put Options - Introduction to Options,3.0
Technical Analysis: Understanding Price Action,3.0
Bitcoin For Beginners,4.0
"IAS 16-Property,Plant and Equipment ",3.0
Basel II,3.5
Learn Financial Modeling from Scratch - Part1,3.5
Introduction to Small Business Accounting Training Tutorial,3.5
The Beginner's Guide to the Futures and Options Trading,3.0
Bitcoin Investing: The Complete Buy & Hold Strategy,4.0
Financial Modeling in Excel for Startups,6.0
Build a Trading Comps Valuation Model,7.0
The Advanced Forex Course for Smart Traders,5.0
Cost Accounting Overheads (Professional Course Level),2.5
Beginners Guide to Stock Market Investing,2.5
NPV and IRR Techniques for CA / CFA / CPA Exams,7.5
Commercial Credit Analysis,7.5
Essential Finance For Managers,5.5
"Financial Accounting, its Cycle, Statements & Analysis",5.0
Yield Curve Dynamics,3.0
Value Investing and Stock Market Fundamentals,3.0
Media Training for Financial Service Professionals,7.0
Corporate Finance and Alternative Investment for CFA L1,4.5
Don't Let Your Customers Run Your Business,2.5
TopTrader Academy - Complete Options Course,3.0
Learn Quickbooks to maintain books properly,2.5
CFA Level I Foundation: Introduction to Financial Reporting,5.5
"Fixed Income Valuation and Analysis, CFA L2",3.0
Trading For Busy People,3.0
CFP - Introduction to Financial Planning,12.0
Investment Portfolio Analysis with Python,7.0
Cost Accounting and Financial Management - A Complete Study,45.0
high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس,2.5
TRADER BOT: Introdução à Linguagem MQL5,70.0
Aprende desde cero a operar el mercado de divisas FOREX,4.0
Cómo usar Metatrader 4 para hacer trading?,6.0
Aprende a llevar la contabilidad de forma informatizada,4.5
"Erfolgreich als Signalgeber/in, per Social- und Copytrading",6.0
Aprenda  a Investir,8.0
"Options Foundation - Time Decay, Implied Volatility, Greeks",3.0
Buying Call and Put Options - Options beginner strategies,3.0
Intermediate Accounting 1: Easy. Fast. Simple!,2.5
How to Read a Balance Sheet,3.5
Credit Repair from a Financial Institution,2.5
The Binary Institute -  Binary Options Trading Course,2.5
Matemática Financeira com HP12C e MS Excel,4.5
Finanzas Personales para Vivir Libre de Deudas,6.0
株式投資で本当のテクニカル分析ができるようになる,2.5
Le basi del Trading,3.5
【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本,3.0
Profit and Loss Account for bankers and credit analysts,7.5
Business Accounts For Managers,3.0
Practical Accounts Training A,31.5
"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",3.0
Reach Your Personal Financial Goals the Easy Way (2017 UK),4.5
CFA Level 1 - Derivatives,4.0
Stock Fundamental Analysis with Excel,10.0
Manual Bookkeeping,2.5
Forex trading with binary options,3.0
Triple P Trading Course,3.0
Cost Accounting - A Comprehensive Study,29.5
How to become a successful day trader,2.5
Public Speaking: You Can Give Great Financial Presentations,6.5
Forex trading Basic to advance Professional Level course,2.5
"Technical Analysis Primer for trading Stocks, Bonds & Forex",3.0
Basics of Finance and Budgeting,6.0
Portfolio Management CFA L1 2016,5.0
"Trade Stocks, Forex & Financial Markets like a Professional",3.0
The Smart Option Trader,13.0
Financial Statements: Learn Accounting. Unlock the Numbers.,3.0
Interest Rate Swaps,3.5
Economics - CFA Level 1 - 2014,4.0
Bookkeeping Made Simple,2.5
What is Bitcoin,5.0
Accounting for CA CPT Exams Part I,13.5
Raising Capital for Your Business,2.5
Accounting Concepts For Technocrats,2.5
Advance Technical Analysis,3.5
The Everyday Investor: Building Wealth with Venture Capital,2.5
Learn to Trade for Profit: Finding Winning Stocks - Chinese,3.0
Financial Accounting Part 2 - Passing The Class,4.5
Legal Accounting,4.0
"Term Loan Appraisal for bankers, credit analysts",6.5
Small Biz Doers' Guide to Small Biz Accounting + Bookkeeping,5.5
Forex Harmonic Trading- With Multiple Forex Chart Examples,2.5
Certificate in MYOB AccountRight Premier 2017 Course,3.0
Introduction to Futures & Options,4.5
Learn To Invest In 7 Steps,3.0
Sell like a Pro: Insider Secrets of Successful Selling!,2.5
CFA® Level 1 2014 – Quantitative Methods,5.0
FOREX Currency Trading For Beginners,4.0
Basic Technical Analysis,2.5
"Working Capital assessment for bankers, credit analysts",7.0
How to trade in the Forex market,2.5
Bookkeeping Practicals with Software,31.5
8 Steps To Achieve Financial Freedom And Escape Debt,5.5
Profits Turbo,5.5
Economics for beginners - Various Concepts,2.5
Learn Financial Modeling from Scratch - Part 2,3.5
Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,6.5
Contabilidad Gubernamental en México,3.5
"Geld verdienen mit dem Ticken der Uhr, wie Warren Buffett!",5.0
Guía práctica para comprar acciones en la Bolsa de USA,4.5
Contabilidad Financiera: Conoce el Lenguaje de los Negocios.,2.5
Curso de Iniciación al Trading,10.5
Complete GST Course For Small and Medium Enterprises,6.0
15 Mandamientos para ganar dinero en Bolsa,8.5
Contabilità Generale,8.5
Estrategias de Inversión aplicadas al mundo del trading,3.0
Le basi del trading online,3.5
Invierte en la Bolsa Mexicana y de USA,5.5
Gestão Financeira Para Pequenas e Médias Empresas,4.5
Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin,5.5
Apprendre à trader sur le marché du Forex - guide complet,3.0
Forex para Principiantes-Ejemplos en VIVO de Trading Real,5.0
Understanding The Stock Market: For Beginners,7.5
CFA® Level 1 2014 – FI,4.5
Managerial Accounting - The Ultimate Beginner Course!,11.0
Accounting - Basic Costing ,3.5
Forex Basics: Learn how to read and analyze Forex charts,4.5
Start-up financial modeling for non-finance professionals,4.0
Tally ERP Complete Training in Urdu / Hindi,5.0
Accounting Simplified,8.5
Aprende a Ganar Dinero en la Bolsa,4.0
Gana en la Bolsa con Análisis Técnico,8.5
Precificação - Calculando valor de venda baseado nos custos,3.0
Investimento em Ações,4.5
Excelを使ってビジネスシミュレーション：基礎編,5.0
"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust",7.0
Corporate Ethics,3.5
CFA Level 2- Quantitative Methods,5.5
Understand Core Finance Principles in 60 Minutes,2.5
Learn Wave accounting to maintain books properly,3.0
Surviving Introduction to Finance,3.0
TRADING FOR A LIVING: Trading Full-Time Transition Guide,3.5
"Financial Analysis, from Scratch to Professional!",3.5
Learn How To Successfully Trade Forex: In 5 Simple Steps,8.5
The Intelligent Investor,10.5
Trading: From Wall Street to Your Street,5.5
Tax Preparation: Learn Fast! Prepare Taxes with Confidence!,2.5
Finance and Accounting for Startups,12.5
The Complete Forex Trader,7.0
Tape Reading: Learn how to read the tape for day trading,14.0
How to Trade Commodity and Financial Futures for a Living!,2.5
Complete Short Financial Ratio Course for Financial Analysis,3.0
How to Build Profitable FOREX Automated Trading Strategies!,2.5
Stock Trading Strategies: Profitable Trading in 7 Days.,5.5
Management Accounting A Complete Study,17.5
Become a Career Day Trader: Asian-Pacific Futures Markets,3.5
Equity Products,2.5
Financial Accounting Part I - Passing the Class,4.5
Accounting 102: Guide to Business Accounting,8.5
Advanced Finance and Accounting for Startups,6.5
Trade for a Living,8.0
Learn Stock Options: Options Made Simple 101,5.0
Banking Credit Analysis Process (for Bankers),17.5
A Beginners Guide to Technical Analysis of Stock Charts,8.5
Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,4.0
Fixed Income Securities,4.5
Financial Accounting Made Easy for All,4.0
Ultimate Guide To Trading Engulfing Candlestick Strategy,2.5
Revealed: Profitable Principles of Successful Traders ,3.0
Easy Market Profits: 3 Step Stock Investing Strategy,3.0
Professional Risk Manager (PRM) Certification: Level 4,8.0
Crowdfunding for Filmmakers,4.0
How to Make IT Work Successfully in Capital Markets,3.0
Life Coach Business Basics: Finance and Operations,3.5
Investimento em Ações para Leigos,2.5
Introducción a la Contabilidad,2.5
Introducción al trading de opciones,5.5
Aprenda a Investir seu Dinheiro,2.5
Trader sur le Forex avec Ichimoku,2.5
トレーディングビュー徹底攻略2017年版,3.0
Kostenrechnung lernen leicht gemacht,3.0
Finance for Non Finance Executives,13.0
Innovators and innovation: Travel through time!,6.0
Learn How to Trade The Stock Market,4.0
Financial Modeling and Valuation: Complete Beginner to Pro,5.0
Anatomy and Figure Drawing for Beginners,21.0
Illustrator CC MasterClass,12.0
Logo Design in Adobe Illustrator - for Beginners & Beyond,7.5
Discover How to Draw and paint Comics,62.0
Photoshop in Ease: Create World Amazing  Graphic Designs,3.0
Canva Graphics Design Essential Training For Everyone,2.5
Deinen Roman setzen mit PagePlus in 10 einfachen Schritten,3.5
Graphic Design Bootcamp,8.0
The Ultimate Drawing Course - Beginner to Advanced,11.0
Ultimate Photoshop Training: From Beginner to Pro,11.5
Photoshop for Entrepreneurs - Design 11 Practical Projects,5.0
Anatomy for Figure Drawing: Mastering the Human Figure,68.5
Sketch 3 from A to Z: Become an App Designer,3.5
How to Design a Logo - a Beginners Course,2.5
Logo Design Masterclass: Learn Logo Design + Illustrator,6.5
How to Draw and Sketch for Beginners,9.0
Graphic Design Masterclass: Learn Graphic Design in Projects,3.5
Canva Graphics Design for Entrepreneurs - Design 11 Projects,3.5
Vector Logo Design in Affinity Designer,3.0
How To Make Professional eBook Covers For FREE,3.0
Design Business Card in Photoshop: Earn Money by Doing It,3.5
Digital Photo Manipulation Art And Cover Design In PhotoShop,5.0
Drawing Perspective For Beginners,7.5
Adobe InDesign CC Advanced,3.5
Como Criar Logos de Sucesso - Start Designer,6.0
Cómo crear maquetas con Adobe XD,3.0
Ferramentas Visuais,5.0
Adobe Indesign CC Başlangıç,2.5
Mastering Photoshop CC 2017 - The Art of Design & Technology,6.5
Canva : Graphic Design Theory Volume1,2.5
Photoshop CC for Beginners - A Comprehensive Crash Course,2.5
Illustrator CC para novatos: ¡desde cero hasta experto! ,11.0
Photoshop para novatos:  ¡desde cero hasta experto!,12.0
Diventa un professionista del Graphic Design,17.5
Formação em Design Gráfico com Corel Draw Versões X8 / 2017.,11.0
ABC do Photoshop CC,7.5
Photoshop para iniciante - o básico,3.0
Curso Online de Adobe Illustrator CC e CS6,13.0
Photoshop & Illustrator CC Essentials in Arabic,3.5
Photoshop from Zero to Hero ( Arabic ),12.5
Photoshop Essentials - Uma Introdução Detalhada,2.5
Expert Guide : Mastering Types feature in illustrator !,2.5
Cartoon Game Logo Design using Photoshop,2.5
All-in-One Premium Design Course - Scratch to Pro+ Edition,5.5
Editorial Illustration Tutorial: From Drawing to Photoshop,2.5
Graphic Design Secrets Revealed,6.0
Drawing in Perspective,3.0
"Digital Art in Adobe Illustrator CC: Angry Bird, Tom & Jerry",2.5
Figure Drawing From Life Using The Reilly Technique.,2.5
Inkscape For Beginners 2016/2017,4.0
Become an InDesign Pro in 10 Skills,5.0
Discover the 7 Secrets to Figure Drawing: Draw Awesome ...,10.0
Photoshop CC MasterClass,11.5
Become A Logo Designer ,2.5
Learning Photoshop CC 2014 in Egyptian Arabic ,3.5
Getting Started With Photoshop CC,4.5
Conviértete en un experto de photoshop cc naked series,12.0
